player_name,player_id,FPPRPOS,FPPRAVG,HPPRPOS,HPPRAVG,STRDPOS,STRDAVG,POSITION
Anthony Miller,00-0034353,WR56,168,WR55,163,WR59,174,WR
Chris Godwin,00-0033921,WR57,169,WR63,177,WR58,173,WR
DeSean Jackson,00-0026189,WR66,170,WR66,142,WR66,171,WR
Dede Westbrook,00-0033839,WR67,171,WR64,178,WR61,183,WR
James Conner,00-0033553,RB55,172,RB63,207,RB55,163,RB
Chicago Bears,CHI,DST10,173,DST10,183,DST11,176,DST
Jared Cook,00-0027061,TE17,174,TE22,180,TE20,175,TE
Paul Richardson,00-0031257,WR68,175,WR74,170,WR69,196,WR
New England Patriots,NE,DST11,176,DST13,211,DST13,186,DST
John Brown,00-0031051,WR59,177,WR65,193,WR57,167,WR
Doug Martin,00-0029613,RB59,178,RB53,158,RB56,165,RB
Pittsburgh Steelers,PIT,DST12,179,DST14,213,DST10,168,DST
Eric Ebron,00-0031387,TE18,180,TE16,173,TE16,181,TE
Mitchell Trubisky,00-0033869,QB21,181,QB22,174,QB23,193,QB
Cameron Brate,00-0031273,TE19,182,TE20,153,TE21,189,TE
Wil Lutz,00-0032569,K4,183,K4,181,K4,162,K
Eli Manning,00-0022803,QB23,184,QB23,185,QB22,172,QB
Mike Williams,00-0033536,WR58,185,WR57,260,WR49,129,WR
Matt Bryant,00-0020578,K5,186,K7,214,K7,180,K
Austin Ekeler,00-0033699,RB57,187,RB60,199,RB57,178,RB
Chris Boswell,00-0031136,K6,188,K9,228,K8,184,K
Nyheim Hines,00-0034367,RB60,189,RB59,150,RB64,202,RB
Carolina Panthers,CAR,DST13,190,DST11,186,DST12,177,DST
Harrison Butker,00-0033303,K7,191,K6,210,K5,166,K
Charles Clay,00-0028112,TE20,192,TE26,217,TE24,218,TE
Mike Gesicki,00-0034829,TE24,193,TE23,190,TE22,198,TE
John Ross,00-0033460,WR60,194,WR75,224,WR70,199,WR
Javorius Allen,00-0031577,RB61,195,RB69,218,RB67,208,RB
Tyrell Williams,00-0032160,WR71,196,WR71,203,WR63,190,WR
Jakeem Grant,00-0032791,WR98,197,WR79,194,,,WR
Blake Bortles,00-0031407,QB25,198,QB27,184,QB26,194,QB
Andy Dalton,00-0027973,QB26,199,QB25,201,QB24,200,QB
Andre Roberts,00-0027691,WR99,200,WR80,195,,,WR
Jake Elliott,00-0033787,K8,201,K5,189,K6,169,K
Benjamin Watson,00-0022943,TE21,202,TE19,192,TE17,211,TE
Danny Amendola,00-0026035,WR61,203,WR77,212,WR74,223,WR
Ted Ginn,00-0025396,WR72,204,WR76,171,WR68,191,WR
Case Keenum,00-0028986,QB27,205,QB24,197,QB25,201,QB
Christian Kirk,00-0034775,WR74,206,WR68,196,WR71,204,WR
Martavis Bryant,00-0031373,WR75,207,WR56,164,WR67,187,WR
Geronimo Allison,00-0032626,WR69,208,WR67,188,WR62,188,WR
Vance McDonald,00-0030470,TE25,209,TE25,209,TE27,228,TE
Robbie Gould,00-0023252,K9,210,K8,221,K9,185,K
Courtland Sutton,00-0034348,WR62,211,WR78,216,WR65,209,WR
TJ Yeldon,00-0032209,RB62,212,RB65,222,RB62,192,RB
Austin Hooper,00-0032392,TE26,213,TE18,187,TE23,203,TE
Tyrod Taylor,00-0028118,QB24,214,QB26,204,QB27,215,QB
Ricky Seals-Jones,00-0033611,TE22,215,TE21,205,TE19,220,TE
Arizona Cardinals,ARI,DST14,216,DST16,226,DST14,225,DST
Robert Kelley,00-0032371,RB63,217,RB57,191,RB63,197,RB
Jordan Matthews,00-0031299,TE35,218,TE27,231,TE39,224,TE
Kansas City Chiefs,KC,DST15,219,,,DST16,205,DST
Matt Prater,00-0023853,K10,220,K12,235,K10,212,K
Hayden Hurst,00-0034830,TE27,221,TE24,202,TE25,217,TE
Seattle Seahawks,SEA,DST16,222,,,DST18,214,DST
Trevor Davis,00-0032423,WR103,223,WR84,239,,,WR
Frank Gore,00-0023500,RB64,224,RB61,200,RB60,210,RB
Mason Crosby,00-0025580,K11,225,K10,232,K11,219,K
Spencer Ware,00-0030414,RB65,226,RB66,223,RB59,206,RB
Samaje Perine,00-0033526,RB66,227,RB64,198,RB66,207,RB
Chris Ivory,00-0027531,RB67,228,RB68,215,RB69,227,RB
Antonio Gates,00-0021547,TE23,229,TE38,281,TE26,221,TE
Atlanta Falcons,ATL,DST17,230,DST15,225,DST15,229,DST
Ryan Tannehill,00-0029701,QB28,231,QB28,229,QB32,253,QB
Donte Moncrief,00-0031339,WR76,232,WR73,206,WR73,222,WR
Tennessee Titans,TEN,DST18,233,DST17,230,DST17,213,DST
Daniel Carlson,00-0034161,K13,234,K11,246,K12,233,K
James Washington,00-0034676,WR77,235,WR82,233,WR76,226,WR
Mike Wallace,00-0026901,WR73,236,WR92,259,WR80,262,WR
Kalen Ballage,00-0034799,RB68,237,RB72,227,RB70,245,RB
Joe Flacco,00-0026158,QB29,238,QB32,262,QB31,252,QB
Jeremy Hill,00-0031301,RB69,239,RB71,220,RB68,216,RB
Terrance Williams,00-0030542,WR78,240,WR96,269,WR84,281,WR
Detroit Lions,DET,DST19,241,DST18,234,DST22,238,DST
Baker Mayfield,00-0034855,QB30,242,QB30,242,QB28,230,QB
Brandon Zylstra,00-0034052,WR107,243,WR97,275,WR107,273,WR
Graham Gano,00-0026858,K14,244,K16,264,K15,240,K
Ryan Succop,00-0026968,K15,245,K19,268,K16,241,K
Adam Vinatieri,00-0016919,K12,246,K14,270,K13,235,K
Taywan Taylor,00-0033911,WR79,247,WR100,287,WR83,270,WR
Quincy Enunwa,00-0031023,WR80,248,WR81,244,WR82,266,WR
Kenneth Dixon,00-0032411,RB70,249,RB70,219,RB71,250,RB
Chase Edmonds,00-0034681,RB71,250,RB79,286,RB72,258,RB
